Ticker	Old Price	New Price	Price Diff


BTC	102176.230000	101793.110000	-0.37
USDT	N/A	N/A	N/A
ETH	3697.600000	3681.670000	-0.43
ZRO	6.026000	5.977000	-0.81
PYTH	0.400600	0.395200	-1.35
SEI	0.478300	0.472300	-1.25
JUP	0.925600	0.914500	-1.20
AVAX	42.840000	42.390000	-1.05
XRP	2.392100	2.363600	-1.19
DYDX	1.654600	1.630700	-1.44
TWT	1.255300	1.240000	-1.22

USDT	N/A	N/A	N/A
XRP	2.392100	2.363600	-1.19
ADA	0.970900	0.959800	-1.14
LINK	25.070000	24.760000	-1.24
RENDER	7.870000	7.775000	-1.21
MEW	0.006597	0.006515	-1.24
POPCAT	0.814000	0.798000	-1.97
MEME	0.011160	0.011020	-1.25
ICP	11.071000	10.978000	-0.84
UNI	15.159000	14.921000	-1.57
ALGO	0.373400	0.368300	-1.37
TIA	5.622000	5.552000	-1.25
FET	1.420000	1.403000	-1.20
TWT	1.255300	1.240000	-1.22
VIRTUAL	2.654250	2.600000	-2.04
AGLA	0.004365	0.004365	0.00
AGLA	0.004365	0.004365	0.00
MANTA	0.895600	0.883000	-1.41

BTC	102176.230000	101793.110000	-0.37
BNB	703.700000	699.200000	-0.64
ETH	3697.600000	3681.670000	-0.43
ETH	3697.600000	3681.670000	-0.43

USDT	N/A	N/A	N/A
DOT	7.640000	7.563000	-1.01
MBOX	0.216000	0.213500	-1.16
XMR	206.740000	208.890000	1.04

USDT	N/A	N/A	N/A
NEAR	5.762000	5.697000	-1.13
FARTCOIN	1.101860	1.118990	1.55

AEVO	0.396900	0.396900	0.00
ZETA	0.612800	0.612800	0.00
VEXT	0.016598	0.016598	0.00
RSR	0.012016	0.011838	-1.48
DYM	1.631000	1.610000	-1.29
MERL	0.289600	0.285900	-1.28
PORT3	0.049860	0.049970	0.22
