Ticker,Pair,Price

BTC,BTCUSDT,95059.16
SOL,SOLUSDT,239.7
ZRO,ZROUSDT,4.2749
AVAX,AVAXUSDT,42.108
BRETT,BRETTUSDT,0.16625
UNI,UNIUSDT,11.6301
TRX,TRXUSDT,0.19727
ALGO,ALGOUSDT,0.26601


POPCAT,POPCATUSDT,1.3305
MEW,MEWUSDT,0.009216
XRP,XRPUSDT,1.4308
SHIB,SHIBUSDT,2.54272e-05
ICP,ICPUSDT,11.7115
JASMY,JASMYUSDT,0.024682
TIA,TIAUSDT,7.8592

AGLA,AGLAUSDT,0.003043

BTC,BTCUSDT,95059.16
BNB,BNBUSDT,641.17
ETH,ETHUSDT,3434.02


HARRY,HARRYUSDT,0.23344
DOT,DOTUSDT,8.419



NEAR,NEARUSDT,6.6006
VET,VETUSDT,0.04169
