Ticker	Pair	Price

BTC	BTCUSDT	101129.12
SOL	SOLUSDT	239.62
ETH	ETHUSDT	3903.66
ZRO	ZROUSDT	6.5261
PYTH	PYTHUSDT	0.52847
SEI	SEIUSDT	0.7246
JUP	JUPUSDT	1.3602
XRP	XRPUSDT	2.4135


POPCAT	POPCATUSDT	1.3663
MEW	MEWUSDT	0.009528
XRP	XRPUSDT	2.4135
ICP	ICPUSDT	15.1427
TIA	TIAUSDT	8.4977
FET	FETUSDT	2.0324
UNI	UNIUSDT	15.5981
TRX	TRXUSDT	0.33197
ALGO	ALGOUSDT	0.47442
VIRTUAL	VIRTUALUSDT	1.7184
LINK	LINKUSDT	24.3028
STX	STXUSDT	2.8188
PENDLE	PENDLEUSDT	6.4657
AGLA	AGLAUSDT	0.006345
MERL	MERLUSDT	0.487
PORT3	PORT3USDT	0.06382

BTC	BTCUSDT	101129.12
BNB	BNBUSDT	731.76
ETH	ETHUSDT	3903.66


DOT	DOTUSDT	10.984
TWT	TWTUSDT	1.5148



NEAR	NEARUSDT	7.9447
